"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/1990","235.74","182.60","275.52","182.60","","34.41%"
"07/01/1990","175.39","147.90","175.39","145.69","","16.15%"
"06/01/1990","151.00","160.42","160.90","147.55","","-5.33%"
"05/01/1990","159.50","177.06","183.15","159.50","","-8.61%"
"04/01/1990","174.52","199.08","199.08","170.28","","-11.47%"
"03/01/1990","197.13","207.83","211.85","192.17","","-6.78%"
"02/01/1990","211.46","219.77","222.87","210.28","","-3.70%"
"01/01/1990","219.58","213.07","220.74","201.99","","8.11%"
"12/01/1989","203.11","186.91","203.95","186.45","","10.90%"
"11/01/1989","183.14","183.25","184.53","177.24","","0.59%"
"10/01/1989","182.06","181.16","187.45","176.95","","-0.10%"
"09/01/1989","182.25","167.76","182.25","167.76","","8.75%"
"08/01/1989","167.59","158.04","167.59","156.99","","4.42%"
"07/01/1989","160.50","169.71","174.61","157.16","","-5.43%"
"06/01/1989","169.71","157.81","171.47","152.21","","7.06%"
"05/01/1989","158.52","155.98","158.92","146.73","","2.82%"
"04/01/1989","154.17","144.16","161.64","143.08","","5.68%"
"03/01/1989","145.89","128.96","150.37","128.96","","13.93%"
"02/01/1989","128.05","119.86","128.05","116.85","","9.85%"
"01/01/1989","116.57","114.37","128.07","112.53","","2.63%"
"12/01/1988","113.58","100.76","113.58","99.02","","14.85%"
"11/01/1988","98.89","86.39","98.89","83.01","","13.29%"
"10/01/1988","87.29","81.83","95.26","78.95","","4.20%"
"09/01/1988","83.77","93.92","94.86","83.77","","-11.39%"
"08/01/1988","94.54","101.33","101.33","94.54","","-8.02%"
"07/01/1988","102.78","95.12","103.28","92.07","","6.49%"
"06/01/1988","96.52","112.49","112.94","96.52","","-13.85%"
"05/01/1988","112.04","110.35","114.53","110.35","","-3.26%"
"04/01/1988","115.82","108.69","119.75","107.29","","6.12%"
"03/01/1988","109.14","100.12","109.27","97.89","","7.03%"
"02/01/1988","101.97","106.79","112.09","100.50","","-5.20%"
"01/01/1988","107.56","111.18","112.18","104.13","","2.48%"
